Line	altrad_heli	cpi135k_prelim	cpi1800_prelim	cpi400_prelim	cpi40k_prelim	cpi8200_prelim	cpq135k_prelim	cpq1800_prelim	cpq400_prelim	cpq40k_prelim	cpq8200_prelim	cpsp	cxi3300_prelim	cxq3300_prelim	cxsp	date	dep135k	dep1800	dep400	dep40k	dep8200	diurnal	dres_200_by5m[0]	dres_200_by5m[1]	dres_200_by5m[2]	dres_200_by5m[3]	dres_200_by5m[4]	dres_200_by5m[5]	dres_200_by5m[6]	dres_200_by5m[7]	dres_200_by5m[8]	dres_200_by5m[9]	dres_200_by5m[10]	dres_200_by5m[11]	dres_200_by5m[12]	dres_200_by5m[13]	dres_200_by5m[14]	dres_200_by5m[15]	dres_200_by5m[16]	dres_200_by5m[17]	dres_200_by5m[18]	dres_200_by5m[19]	dres_200_by5m[20]	dres_200_by5m[21]	dres_200_by5m[22]	dres_200_by5m[23]	dres_200_by5m[24]	dres_200_by5m[25]	dres_200_by5m[26]	dres_200_by5m[27]	dres_200_by5m[28]	dres_200_by5m[29]	dres_200_by5m[30]	dres_200_by5m[31]	dres_200_by5m[32]	dres_200_by5m[33]	dres_200_by5m[34]	dres_200_by5m[35]	dres_200_by5m[36]	dres_200_by5m[37]	dres_200_by5m[38]	dres_200_by5m[39]	dres_200_by5m[40]	dtm	fid	flight	gpsz_tx	mag_diu	mag_lag	powerline	res135k	res1800	res400	res40k	res8200	time_ssm	x_tx	y_tx
L120030	71.07818047	430.6153564	60.32111359	18.20295525	202.1072388	122.9333649	529.8045654	59.70972824	30.49862671	221.7257996	93.06374359	0.000128097	28.97569656	27.71383858	4.73E-05	20230816	-37.64908981	2.991073608	4.243019104	-24.70942307	-3.687599182	57258.25149	927.4832764	927.4832764	927.4832764	904.8977051	723.09375	577.8161621	461.7264709	368.9605103	17.88836288	0.889208794	2.140162945	5.150981426	9.928382874	11.58478451	13.51753235	15.77273083	18.4041748	21.47463608	25.05735588																							107.6803336	3549.3	29006	149.05203	57354.62851	57392.88	0.000416466	927.4832764	35.15061951	30.4005146	403.9925537	68.60409546	53171.3	386317.5962	7202044.964
L120030	71.04387494	426.907135	60.13774109	18.2616787	201.380661	122.2654724	527.3574219	59.50882721	30.71077156	219.5043945	92.77600861	0.000174279	28.98004913	27.72397995	4.09E-05	20230816	-37.61809921	3.114952087	3.962059021	-24.42493057	-3.604003906	57258.2631	937.5444946	937.5444946	937.5444946	912.3925781	725.6572266	577.1401367	459.0193787	365.0738831	16.59264374	0.917303503	2.185651541	5.207734108	10.00168133	11.655797	13.58347607	15.82996273	18.44798088	21.49897766	25.0545578																							107.6753006	3549.4	29006	149.01284	57354.6999	57392.963	0.000776301	937.5444946	35.20602798	30.44525719	401.5260925	69.10916138	53171.4	386317.1739	7202042.176
L120030	70.99581337	422.3163757	59.96242523	18.25724983	200.89534	121.6190796	524.0722656	59.310215	30.95020866	217.3272552	92.49604797	0.000150658	28.9869175	27.80091667	4.19E-05	20230816	-37.557621	3.253936768	3.51133728	-24.11219025	-3.507858276	57258.2747	949.5979004	949.5979004	949.5979004	920.848938	727.9937134	575.5286255	454.9945068	359.7041321	14.94534016	0.952375829	2.220958948	5.179319859	9.896603584	11.56198502	13.50761223	15.78064632	18.43618202	21.53858566	25.16305542																							107.6840236	3549.5	29006	148.97365	57354.7423	57393.017	0.00080188	949.5979004	35.25376892	30.68774986	398.1707764	69.6029129	53171.5	386316.7516	7202039.387
L120030	70.93312583	417.2709961	59.81675339	18.21246719	200.5843964	121.0511246	520.3623657	59.13812256	31.18226624	215.3283386	92.19065857	0.00016787	28.9925766	27.91216087	3.17E-05	20230816	-37.47776031	3.39781189	3.010917664	-23.79417419	-3.382797241	57258.28631	962.9758911	962.9758911	962.9758911	930.0494995	730.4049072	573.6160889	450.4836121	343.901062	13.30934429	0.987302899	2.242831707	5.094985485	9.676535606	11.35888672	13.33372879	15.65191555	18.37313843	21.56747055	25.31716537																							107.7073726	3549.6	29006	148.93446	57354.78869	57393.075	0.000624355	962.9758911	35.28769302	31.03333092	394.5266418	69.97149658	53171.6	386316.3293	7202036.599
L120030	70.85672652	412.3859863	59.71639633	18.12058449	200.3494873	120.5828629	516.7422485	59.00865173	31.38047409	213.5688324	91.85263062	0.000129146	28.99258804	28.03255844	2.61E-05	20230816	-37.38439941	3.538513184	2.497360229	-23.48813629	-3.22543335	57258.29792	976.2227783	976.2227783	976.2227783	939.1129761	732.8189087	571.8412476	446.2254028	310.0621338	11.92543888	1.01645124	2.248491287	4.973886967	9.384408951	11.0863905	13.09704685	15.47236156	18.27847099	21.59350204	25.50975609																							107.7444334	3549.7	29006	148.89527	57354.87908	57393.177	0.000595739	976.2227783	35.30195236	31.47879791	391.1442871	70.17479706	53171.7	386315.907	7202033.81
L120030	70.76895332	408.2086182	59.66672134	17.97031212	200.1103668	120.2062988	513.6031494	58.92431641	31.53129196	212.0438995	91.50434113	0.000119442	28.981884	28.14239502	1.16E-05	20230816	-37.28085327	3.673423767	1.955001831	-23.20227051	-3.046058655	57258.30953	987.7398071	987.7398071	987.7398071	946.9221802	734.8856812	570.3287964	442.6197815	284.2987366	10.86808586	1.037614465	2.238622904	4.829763412	9.047721863	10.77036762	12.82099724	15.2620573	18.16788292	21.62696648	25.74464226																							107.7928681	3549.8	29006	148.85608	57355.02947	57393.339	0.000680958	987.7398071	35.29209137	32.04904556	388.3349304	70.24704742	53171.8	386315.4847	7202031.021
L120030	70.67376507	405.0220642	59.66148376	17.77266693	199.8311157	119.9054794	511.0420532	58.87464523	31.63830185	210.7129517	91.18455505	0.000114845	28.95918274	28.22888947	4.35E-05	20230816	-37.16629028	3.804206848	1.416824341	-22.93794632	-2.862998962	57258.32113	996.3165894	996.3165894	996.3165894	952.5134888	736.1436768	568.9237061	439.6888733	265.5690308	10.09902859	1.051715612	2.218031168	4.677749157	8.693384171	10.43465328	12.52469444	15.03336811	18.04452324	21.65880966	25.99702835	30.73419189																						107.8487178	3549.9	29006	148.81689	57355.21687	57393.538	0.000786026	996.3165894	35.25693893	32.72521973	386.1435547	70.25452423	53171.9	386315.0624	7202028.233
L120030	70.57647074	402.7907715	59.68540192	17.55675697	199.5181427	119.6693726	508.8456726	58.83920288	31.71508026	209.5336761	90.92723846	0.000112304	28.92778969	28.29096413	3.32E-05	20230816	-37.03652954	3.935951233	0.896514893	-22.69436646	-2.694267273	57258.33274	1001.459961	1001.459961	1001.459961	955.3998413	736.2509766	567.3703003	437.2273254	251.8304596	9.53685379	1.061012864	2.1918118	4.527785778	8.338562965	10.09315777	12.21695232	14.78763485	17.89923859	21.66558266	26.22443962	31.74256706																						107.9066736	3550	29006	148.7777	57355.39626	57393.729	0.00039491	1001.459961	35.19818878	33.44232559	384.4450378	70.25235748	53172	386314.6401	7202025.444
L120030	70.48203613	401.2219543	59.7228241	17.35866737	199.2000275	119.4917984	506.6881714	58.7993927	31.77075386	208.4844055	90.74567413	0.000114208	28.89366913	28.3372364	5.27E-05	20230816	-36.89008713	4.072463989	0.448501587	-22.47173691	-2.550064087	57258.34444	1003.649597	1003.649597	1003.649597	955.9090576	735.2813721	565.5754395	435.0383606	241.2475281	9.106643677	1.067413092	2.162775755	4.382182121	7.987787247	9.747885704	11.89581966	14.51704884	17.71586227	21.61952972	26.38336563	32.19690704																						107.9197445	3550.1	29006	148.71472	57355.53456	57393.879	0.00045223	1003.649597	35.11943817	34.10181046	383.0776672	70.26515198	53172.1	386314.3016	7202022.699
L120030	70.39377471	399.9045715	59.76303482	17.21224213	198.906662	119.3676147	504.394043	58.75007629	31.79431152	207.5668945	90.63001251	0.000136596	28.86317635	28.37865448	6.69E-05	20230816	-36.73484039	4.210823059	0.166893005	-22.27182007	-2.430870056	57258.35614	1004.340271	1004.340271	1004.340271	955.2792969	733.8591309	563.7609863	433.0891724	232.7033539	8.761300087	1.07188642	2.132543087	4.242744923	7.649067879	9.405650139	11.5656271	14.22163486	17.48758507	21.50355148	26.44177055	32.51403427																						107.9266422	3550.2	29006	148.65174	57355.62086	57393.977	0.000505224	1004.340271	35.02951813	34.58195496	381.9328003	70.28778076	53172.2	386313.9631	7202019.954
